,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
14,1400000US06061020606,96,47,06,061,020606,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
15,1400000US06061020607,334,231,06,061,020607,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
16,1400000US06061020608,75,51,06,061,020608,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
17,1400000US06061020710,272,76,06,061,020710,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
18,1400000US06061020711,106,56,06,061,020711,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
19,1400000US06061020712,75,47,06,061,020712,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
20,1400000US06061020713,116,77,06,061,020713,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
21,1400000US06061020714,88,56,06,061,020714,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
22,1400000US06061020715,56,36,06,061,020715,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
23,1400000US06061020717,240,96,06,061,020717,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
24,1400000US06061020805,204,67,06,061,020805,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
25,1400000US06061020806,145,82,06,061,020806,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
26,1400000US06061020901,83,45,06,061,020901,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
27,1400000US06061020908,259,133,06,061,020908,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
28,1400000US06061021003,127,90,06,061,021003,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
29,1400000US06061021034,193,97,06,061,021034,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
30,1400000US06061021037,84,29,06,061,021037,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
31,1400000US06061021038,229,107,06,061,021038,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
32,1400000US06061021039,24,22,06,061,021039,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
33,1400000US06061021040,0,13,06,061,021040,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
34,1400000US06061021043,136,73,06,061,021043,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
35,1400000US06061021044,159,66,06,061,021044,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
36,1400000US06061021045,104,70,06,061,021045,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
37,1400000US06061021046,62,58,06,061,021046,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
38,1400000US06061021047,127,63,06,061,021047,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
39,1400000US06061021048,325,150,06,061,021048,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
40,1400000US06061021103,267,125,06,061,021103,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
41,1400000US06061021106,62,27,06,061,021106,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
42,1400000US06061021108,84,49,06,061,021108,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
43,1400000US06061021109,215,91,06,061,021109,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
44,1400000US06061021122,44,33,06,061,021122,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
45,1400000US06061021123,228,77,06,061,021123,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
46,1400000US06061021128,167,70,06,061,021128,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
47,1400000US06061021129,102,58,06,061,021129,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
48,1400000US06061021130,99,70,06,061,021130,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
49,1400000US06061021131,209,78,06,061,021131,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
50,1400000US06061021203,299,115,06,061,021203,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
51,1400000US06061021204,98,53,06,061,021204,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
52,1400000US06061021304,153,94,06,061,021304,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
53,1400000US06061021323,292,123,06,061,021323,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
54,1400000US06061021324,132,69,06,061,021324,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
55,1400000US06061021325,426,146,06,061,021325,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
56,1400000US06061021326,170,106,06,061,021326,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
57,1400000US06061021327,316,133,06,061,021327,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
58,1400000US06061021328,696,205,06,061,021328,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
59,1400000US06061021401,132,70,06,061,021401,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
60,1400000US06061021403,156,81,06,061,021403,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
61,1400000US06061021501,183,93,06,061,021501,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
62,1400000US06061021502,78,40,06,061,021502,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
