GEO_ID,value,state,MarginOfError,county,sample_level,Geo_Name,variable_code,variable_name,variable_category,year_sample,dataset,census_geom_year,TRPAID
32005,901,32,,005,County,Douglas County,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,320052000
32031,4410,32,,031,County,Washoe County,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,320312000
32510,850,32,,510,County,Carson City County,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,325102000
06000,397927,06,,000,State,CA,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,060002000
32000,29276,32,,000,State,NV,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,320002000
06017,1846,06,,017,County,El Dorado County,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,060172000
06061,3023,06,,061,County,Placer County,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,060612000
32005,653,32,,005,County,Douglas County,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,320052000
32031,3380,32,,031,County,Washoe County,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,320312000
32510,832,32,,510,County,Carson City County,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,325102000
06000,327683,06,,000,State,CA,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,060002000
32000,20579,32,,000,State,NV,P012023,Male: 75 to 79 years,Age,2000,dec/sf1,2000,320002000
06017,1099,06,,017,County,El Dorado County,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,060172000
06061,1832,06,,061,County,Placer County,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,060612000
32005,335,32,,005,County,Douglas County,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,320052000
32031,1847,32,,031,County,Washoe County,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,320312000
32510,473,32,,510,County,Carson City County,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,325102000
06000,197306,06,,000,State,CA,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,060002000
32000,10580,32,,000,State,NV,P012024,Male: 80 to 84 years,Age,2000,dec/sf1,2000,320002000
06017,603,06,,017,County,El Dorado County,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,060172000
06061,1156,06,,061,County,Placer County,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,060612000
32005,156,32,,005,County,Douglas County,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,320052000
32031,1144,32,,031,County,Washoe County,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,320312000
32510,243,32,,510,County,Carson City County,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,325102000
06000,134182,06,,000,State,CA,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,060002000
32000,5644,32,,000,State,NV,P012025,Male: 85 years and over,Age,2000,dec/sf1,2000,320002000
06017,78336,06,,017,County,El Dorado County,P012026,Female: Total,Age,2000,dec/sf1,2000,060172000
06061,126507,06,,061,County,Placer County,P012026,Female: Total,Age,2000,dec/sf1,2000,060612000
32005,20419,32,,005,County,Douglas County,P012026,Female: Total,Age,2000,dec/sf1,2000,320052000
32031,167406,32,,031,County,Washoe County,P012026,Female: Total,Age,2000,dec/sf1,2000,320312000
32510,25355,32,,510,County,Carson City County,P012026,Female: Total,Age,2000,dec/sf1,2000,325102000
06000,16996756,06,,000,State,CA,P012026,Female: Total,Age,2000,dec/sf1,2000,060002000
32000,980206,32,,000,State,NV,P012026,Female: Total,Age,2000,dec/sf1,2000,320002000
06017,4258,06,,017,County,El Dorado County,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,060172000
06061,7897,06,,061,County,Placer County,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,060612000
32005,1041,32,,005,County,Douglas County,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,320052000
32031,11545,32,,031,County,Washoe County,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,320312000
32510,1608,32,,510,County,Carson City County,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,325102000
06000,1214097,06,,000,State,CA,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,060002000
32000,71017,32,,000,State,NV,P012027,Female: Under 5 years,Age,2000,dec/sf1,2000,320002000
06017,5577,06,,017,County,El Dorado County,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,060172000
06061,9291,06,,061,County,Placer County,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,060612000
32005,1284,32,,005,County,Douglas County,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,320052000
